"Ned" "Daenerys" "Jon" "Littlefinger" "Arya" "Catelyn" "Bronn" "Cersei" "Shae" "Joffrey" "Sansa" "Tyrion" "Jeor" "Robb" "Bran" "Jaime" "Loras" "Jory Cassel" "Jorah" "Ros" "Grenn" "Benjen" "Greatjon Umber" "Mord" "Doreah" "Lysa" "Pyp" "Renly" "Drogo" "Barristan" "Illyrio" "Osha" "Shagga" "Alliser Thorne" "Hound" "Theon" "Maester Luwin" "Robert" "Lancel" "Mirri Maz Duur" "Pycelle" "Kevan" "Janos Slynt" "Gendry" "Hot Pie" "Jon Arryn" "Irri" "Meryn Trant" "Mhaegen" "Robin Arryn" "Rodrik Cassel" "Aerys" "Baelor" "Dareon" "Ser Vardis" "Hugh Of The Vale" "Maester Aemon" "Othell Yarwyck" "Rast" "Gared" "Jonos Bracken" "Marillion" "Masha Heddle" "Mountain" "Ilyn Payne" "Lyanna" "Mycah" "Old Nan" "Royce" "Ryger Rivers" "Stevron Frey" "Waymar Royce" "Addam Marbrand" "Assassin" "Balon" "Beric" "Brandon Stark" "Cohollo" "Hodor" "Hoster" "Myrcella" "Qotho" "Rakharo" "Rickon" "Varys" "Aegon" "Borcas" "Bowen Marsh" "Galbart Glover" "High Septon" "Jaremy Rykker" "Joanna" "Joyeuse" "Leo Lefford" "Luke" "Melessa" "Othor" "Randyll" "Rhaegar" "Rhaego" "Rickard Karstark" "Stannis" "Sam" "Viserys" "Septa Mordane" "Tywin" "Syrio Forel" "Walder" "Yoren" "Wine Merchant" "Lommy Greenhands" "Vardis Egen" "Mago" "Tobho Mott" "Stable Boy" "Tomard" "Rickard Stark" "Will" "Jhiqui" "Irogenia" "Tysha" "Tommen" "Little Bird" "Mace" "Roose Bolton" "Steffon" "Varly"
"Lysa" 0 0 0 0 0 30 5 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 30 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pyp" 3 0 42 0 0 0 0 0 0 0 0 6 10 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 6 2 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 2 0 0 0 2 0 2 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Renly" 30 0 0 17 0 0 0 3 0 3 5 0 0 3 0 0 47 0 0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 30 2 0 8 0 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"Drogo" 0 91 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 3 0 0 0 0 0 6 0 0 0 0 0 0 2 0 9 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 27 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Barristan" 25 0 0 4 0 0 0 13 0 5 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 22 3 0 4 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Illyrio" 0 10 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Osha" 0 0 0 0 0 0 0 0 0 0 0 0 0 8 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Shagga" 0 0 0 0 0 0 5 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Alliser Thorne" 0 0 20 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 7 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hound" 10 0 0 5 7 2 0 4 0 16 19 10 0 2 2 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 8 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
